+--------------------+----------------------------------------+-------------------------------------------------------------+--------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| Domain             | Method                                 | URI                                                         | Name                                             | Action                                                                       | Middleware                                                                                                               |
| api.localhost      | PUT                                    | auth/change-number-verify/{user}                            | api.auth.change-number-verify                    | App\Http\Controllers\Api\AuthController@changeNumberVerify                   | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | auth/is-unique-login                                        | api.auth.isUniqueLogin                           | App\Http\Controllers\Api\AuthController@isUniqueLogin                        | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | auth/login                                                  | api.auth.login                                   | App\Http\Controllers\Api\AuthController@login                                | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | PUT                                    | auth/login-corporate                                        | api.auth.login-corporate                         | App\Http\Controllers\Api\AuthController@loginCorporate                       | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | PUT                                    | auth/login-token/{user}                                     | api.auth.login-token                             | App\Http\Controllers\Api\AuthController@loginWithToken                       | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | PUT                                    | auth/login-verify/{user}                                    | api.auth.login-verify                            | App\Http\Controllers\Api\AuthController@loginVerify                          | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | auth/logout/{userToken?}                                    | api.auth.logout                                  | App\Http\Controllers\Api\AuthController@logout                               | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | PUT                                    | auth/merchant-help-request/{user}                           | api.auth.merchant-help-request                   | App\Http\Controllers\Api\AuthController@merchantHelpRequest                  | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | PUT                                    | auth/password-reset                                         | api.auth.password-reset                          | App\Http\Controllers\Api\AuthController@passwordReset                        | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | auth/password-reset-request                                 | api.auth.password-reset-request                  | App\Http\Controllers\Api\AuthController@passwordResetRequest                 | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | auth/sign-up-corporate                                      | api.auth.sign-up-corporate                       | App\Http\Controllers\Api\AuthController@signUpCorporate                      | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | auth/sign-up-personal                                       | api.auth.sign-up-personal                        | App\Http\Controllers\Api\AuthController@signUpPersonal                       | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | PUT                                    | auth/sms-resend/{user}                                      | api.auth.resend                                  | App\Http\Controllers\Api\AuthController@resend                               | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | auth/sms-timeout/{user}                                     | api.auth.timeout                                 | App\Http\Controllers\Api\AuthController@timeout                              | api,localize,localizationRedirect,apiLang                                                                                |
